code,province,weight
B160,BZ,21688
B165,TN,747
B166,VA,1197
B169,VV,4203
B167,CN,315
B171,TO,4630
B172,CO,341
B173,PZ,4035
B176,NO,2933
B175,CN,39
B178,BG,5991
B179,AL,450
B180,BR,87820
B181,PZ,892
B182,VA,816
B183,NO,1183
B184,BS,711
B187,MB,6020
B188,RA,7629
B192,AO,969
B193,PE,286
B194,LC,4620
B191,VA,1231
B195,FR,2710
B196,VI,3988
B197,VV,720
B198,ME,5739
B202,CT,19116
B204,CN,1066
B203,BZ,2791
B200,CN,282
B201,PV,9254
B205,TO,409
B207,VB,689
B212,MB,34516
B209,TO,463
B214,SP,1298
B215,PN,9333
B213,PD,7058
B216,TO,8635
B217,BG,117
B218,CO,1736
B219,VA,973
B220,BZ,16356
B221,AT,322
B223,BG,5570
B225,TO,1639
B227,NA,16499
B228,VA,1208
B229,BI,2071
B230,AO,889
B232,TO,1525
B234,RC,1104
B235,MI,2401
B236,AT,872
B237,SR,1979
B238,CH,5213
B240,MI,27245
B242,SA,4976
B239,BN,2102
B243,AR,10120
B246,OT,3868
B247,PN,2562
B248,OT,5150
B249,BO,18518
B251,PT,8768
B250,CI,1070
B255,SO,2010
B256,AQ,1106
B259,UD,6524
B258,VA,3080
B262,CO,3997
B261,LC,2844
B265,SS,512
B264,SS,945
B266,SA,2547
B267,BN,1702
B268,CH,92
B269,SI,3127
B272,MB,4284
B270,CS,2233
B274,CA,2798
B275,AG,2650
B276,SS,923
B278,TO,1395
B280,VC,866
B279,TO,1188
B281,OR,1292
B284,TO,1658
B282,GE,5545
B285,CN,10132
B286,MI,4760
B287,SR,1035
B288,TP,2947
B289,MB,6750
B292,MI,8506
B293,PR,7009
B295,CB,1238
B294,PE,2480
B296,VR,20027
B297,TO,6037
B304,VR,7035
B301,MI,13850
B302,CL,4691
B305,TO,6386
B303,PI,5683
B300,VA,83340
B309,UD,4079
B306,AT,2598
B311,AL,533
B310,BG,5721
B312,VA,591
B313,CO,7521
B317,IS,669
B315,PA,8183
B320,CR,431
B314,OR,9165
B319,KR,1630
B326,VA,2160
B328,RE,10637
B332,PC,6132
B335,TN,679
B345,PD,16199
B346,CO,7919
B347,VA,1848
B349,TV,8036
B350,TO,3425
B351,SA,2702
B352,PU,8652
B354,CA,154083
B355,CO,454
B357,FG,7284
B358,AQ,1295
B359,CO,2045
B360,TN,336
B361,CE,1855
B362,CE,5574
