value,encoded,weight
Silva,SLV,1155
Peluso,PLS,1155
Cristiano,CRS,1155
Perri,PRR,1154
Iacono,CNI,1154
Venturi,VNT,1153
Franchi,FRN,1150
Corona,CRN,1145
Macri,MCR,1144
Castellano,CST,1143
Gennaro,GNN,1139
Marrone,MRR,1136
Somma,SMM,1136
Magnani,MGN,1136
Sabatino,SBT,1136
Mori,MRO,1134
Martinez,MRT,1133
Baldini,BLD,1132
Raimondi,RMN,1126
Mariotti,MRT,1125
Tosi,TSO,1125
Reale,RLE,1124
Palazzo,PLZ,1121
Gambino,GMB,1121
Ippolito,PPL,1120
Re,REX,1119
Wang,WNG,1116
de Lucia,DLC,1116
Fumagalli,FMG,1114
Grosso,GRS,1113
Florio,FLR,1112
Bonanno,BNN,1110
Nicola,NCL,1109
Giuffrida,GFF,1108
Mazzola,MZZ,1104
Santangelo,SNT,1099
Scarpa,SCR,1099
Bartolini,BRT,1098
Amoroso,MRS,1097
Giunta,GNT,1097
Marin,MRN,1094
Gianni,GNN,1094
Fiorini,FRN,1093
Fedele,FDL,1092
Marconi,MRC,1090
Usai,SUA,1090
Ambrosio,MBR,1087
D'Elia,DLE,1086
Tortora,TRT,1085
Bono,BNO,1083
Kaur,KRA,1080
Davide,DVD,1079
Matteo,MTT,1079
Nicoletti,NCL,1078
Bove,BVO,1077
D'auria,DRA,1077
Salvi,SLV,1076
Savino,SVN,1075
Siciliano,SCL,1075
Damiano,DMN,1073
Fiori,FRI,1071
Innocenti,NNC,1066
Piscopo,PSC,1066
Miranda,MRN,1063
Trotta,TRT,1063
Pavan,PVN,1062
Iannone,NNN,1062
Petrucci,PTR,1060
Coco,CCO,1060
Orsini,RSN,1055
Festa,FST,1055
Casella,CSL,1053
Campanella,CMP,1050
Privitera,PRV,1047
Kumar,KMR,1044
Campagna,CMP,1043
Iodice,DCI,1042
Sannino,SNN,1041
Lucia,LCU,1040
Fanelli,FNL,1039
Alessi,LSS,1038
Paolini,PLN,1035
Lentini,LNT,1033
Speranza,SPR,1032
Gueye,GYU,1032
Cataldo,CTL,1028
Meli,MLE,1027
Longobardi,LNG,1025
Rocchi,RCC,1024
Lorenzo,LRN,1023
Di Giovanni,DGV,1020
Di Carlo,DCR,1019
Mazzeo,MZZ,1019
Drago,DRG,1018
Palladino,PLL,1018
Sansone,SNS,1016
Giacalone,GCL,1016
